sentence,label,predictions
"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ",positive,positive
richard gere and diane lane put in fine performances as does french actor oliver martinez . ,positive,positive
"good film , but very glum . ",positive,positive
there are plot holes big enough for shamu the killer whale to swim through . ,negative,negative
"preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment . ",positive,positive
verbinski implements every hack-artist trick to give us the ooky-spookies . ,negative,negative
two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated . ,positive,positive
"in all , this is a watchable movie that 's not quite the memorable experience it might have been . ",negative,negative
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",positive,positive
atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues ,positive,positive
slick piece of cross-promotion . ,positive,negative
"well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",negative,negative
"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places . ",positive,positive
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ",positive,positive
filmmakers who can deftly change moods are treasures and even marvels . ,positive,positive
"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ",positive,positive
( a ) shapeless blob of desperate entertainment . ,negative,negative
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan . ",negative,negative
true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable . ,positive,negative
"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",positive,positive
no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . ,positive,positive
"more romantic , more emotional and ultimately more satisfying than the teary-eyed original . ",positive,positive
"this is a shameless sham , calculated to cash in on the popularity of its stars . ",negative,negative
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever . ",negative,negative
"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back . ",negative,negative
"stultifyingly , dumbfoundingly , mind-numbingly bad . ",negative,negative
"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it . ",positive,positive
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",negative,positive
"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",negative,negative
no aspirations to social import inform the movie version . ,negative,negative
"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . ",negative,negative
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ",positive,positive
not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,positive,positive
"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ",positive,positive
"... routine , harmless diversion and little else . ",positive,negative
"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ",negative,negative
"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ",negative,negative
"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",negative,negative
"samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal ",negative,negative
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,negative,negative
"every time you look , sweet home alabama is taking another bummer of a wrong turn . ",negative,negative
how do you spell cliché ? ,negative,negative
no telegraphing is too obvious or simplistic for this movie . ,negative,negative
"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",positive,positive
i thought my own watch had stopped keeping time as i slogged my way through clockstoppers . ,negative,negative
"less dizzying than just dizzy , the jaunt is practically over before it begins . ",negative,negative
overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube . ,negative,negative
they should have called it gutterball . ,negative,negative
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,negative,negative
( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . ,positive,positive
"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging . ",negative,negative
"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . ",negative,negative
a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,positive,positive
"this is human comedy at its most amusing , interesting and confirming . ",positive,positive
"whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting . ",negative,negative
worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change . ,positive,positive
"a poignant , artfully crafted meditation on mortality . ",positive,positive
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",negative,negative
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",positive,positive
it 's everything you do n't go to the movies for . ,negative,negative
"( grant 's ) bumbling magic takes over the film , and it turns out to be another winning star vehicle . ",positive,positive
"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ",positive,positive
"velocity represents everything wrong with '' independent film '' as a commodified , sold-out concept on the american filmmaking scene . ",negative,negative
"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ",positive,positive
the piece plays as well as it does thanks in large measure to anspaugh 's three lead actresses . ,positive,positive
"suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by hollywood . ",negative,negative
but what are adults doing in the theater at all ? ,negative,negative
like being trapped at a perpetual frat party ... how can something so gross be so boring ? ,negative,negative
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",negative,negative
this is n't even madonna 's swept away . ,negative,negative
the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,negative,positive
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,negative,negative
my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . ,positive,positive
... a magnificent drama well worth tracking down . ,positive,positive
"oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century . ",positive,positive
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . ",positive,positive
but it still jingles in the pocket . ,positive,positive
"it 's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it 's savvy about celebrity and has more guts and energy than much of what will open this year . ",positive,positive
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative
one from the heart . ,positive,positive
made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,negative,negative
people cinema at its finest . ,positive,positive
"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",positive,positive
"and when you 're talking about a slapstick comedy , that 's a pretty big problem . ",negative,negative
a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,positive,negative
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . ",negative,negative
one long string of cliches . ,negative,negative
like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . ,negative,negative
it 's hard to imagine alan arkin being better than he is in this performance . ,positive,positive
the film will play equally well on both the standard and giant screens . ,positive,positive
"... a fun little timewaster , helped especially by the cool presence of jean reno . ",positive,positive
something like scrubbing the toilet . ,negative,negative
there 's enough melodrama in this magnolia primavera to make pta proud yet director muccino 's characters are less worthy of puccini than they are of daytime television . ,negative,negative
"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",positive,positive
"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ",negative,negative
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",positive,positive
"the result is a gaudy bag of stale candy , something from a halloween that died . ",negative,negative
it 's a lovely film with lovely performances by buy and accorsi . ,positive,positive
"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ",positive,positive
"movie fans , get ready to take off ... the other direction . ",negative,negative
not an objectionable or dull film ; it merely lacks everything except good intentions . ,negative,negative
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving . ",positive,positive
a film about a young man finding god that is accessible and touching to the marrow . ,positive,positive
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,positive,positive
an infectious cultural fable with a tasty balance of family drama and frenetic comedy . ,positive,positive
i do n't think i laughed out loud once . ,negative,negative
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",negative,negative
"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit . ",positive,positive
it 's a beautiful madness . ,positive,positive
"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",negative,negative
not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . ,negative,negative
"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ",negative,negative
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity . ",positive,positive
one of the most significant moviegoing pleasures of the year . ,positive,positive
"prurient playthings aside , there 's little to love about this english trifle . ",negative,negative
a grimly competent and stolid and earnest military courtroom drama . ,positive,positive
at once half-baked and overheated . ,negative,negative
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,positive,positive
the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,positive,positive
very psychoanalytical -- provocatively so -- and also refreshingly literary . ,positive,positive
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",positive,positive
the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life . ,negative,negative
a valueless kiddie paean to pro basketball underwritten by the nba . ,negative,negative
"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ",positive,positive
"it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker . ",negative,negative
that 's a cheat . ,negative,negative
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",negative,positive
it 's fun lite . ,positive,positive
"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ",positive,positive
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,positive,positive
"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment . ",negative,negative
"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz . ",positive,positive
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",negative,negative
"though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that 's potentially moving , the movie is too predictable and too self-conscious to reach a level of high drama . ",negative,negative
"a tender , witty , captivating film about friendship , love , memory , trust and loyalty . ",positive,positive
"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",negative,negative
"this film seems thirsty for reflection , itself taking on adolescent qualities . ",negative,negative
this nickleby thing might have more homosexual undertones than an eddie murphy film . ,negative,negative
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,positive,positive
"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",negative,negative
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . ",negative,positive
griffiths proves she 's that rare luminary who continually raises the standard of her profession . ,positive,positive
"just as moving , uplifting and funny as ever . ",positive,positive
enormously entertaining for moviegoers of any age . ,positive,positive
"a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . ",positive,positive
"this is a good script , good dialogue , funny even for adults . ",positive,positive
the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,negative,negative
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . ,positive,positive
i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,negative,negative
"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",negative,negative
a delightful coming-of-age story . ,positive,positive
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . ",positive,positive
a strangely compelling and brilliantly acted psychological drama . ,positive,positive
the only excitement comes when the credits finally roll and you get to leave the theater . ,negative,negative
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",negative,negative
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",positive,positive
"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ",positive,positive
it 's a buggy drag . ,negative,negative
it wants to tweak them with a taste of tangy new humor . ,positive,positive
late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,negative,negative
candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,positive,positive
a quiet treasure -- a film to be savored . ,positive,positive
"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . ",negative,negative
"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing . ",negative,negative
teen movies have really hit the skids . ,negative,negative
"woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . ",positive,positive
it 's made with deftly unsettling genre flair . ,positive,positive
manages to show life in all of its banality when the intention is quite the opposite . ,negative,negative
"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine . ",negative,negative
collateral damage finally delivers the goods for schwarzenegger fans . ,positive,positive
a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,positive,positive
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",negative,negative
will amuse and provoke adventurous adults in specialty venues . ,positive,positive
sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest . ,negative,negative
but this films lacks the passion required to sell the material . ,negative,negative
"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . ",negative,negative
there 's a wickedly subversive bent to the best parts of birthday girl . ,positive,positive
"a better title , for all concerned , might be swept under the rug . ",negative,negative
a wildly inconsistent emotional experience . ,negative,negative
"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . ",negative,negative
"despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine . ",negative,negative
"an absurdist comedy about alienation , separation and loss . ",negative,positive
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",positive,negative
his healthy sense of satire is light and fun ... ,positive,positive
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,positive,positive
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness . ",positive,negative
"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",negative,negative
part low rent godfather . ,negative,negative
"( serry ) wants to blend politics and drama , an admirable ambition . ",positive,positive
"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution . ",negative,negative
it 's fascinating to see how bettany and mcdowell play off each other . ,positive,positive
"in a way , the film feels like a breath of fresh air , but only to those that allow it in . ",positive,positive
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",positive,positive
the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,positive,positive
"add yet another hat to a talented head , clooney 's a good director . ",positive,positive
"stephen rea , aidan quinn , and alan bates play desmond 's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , ` tis . ",positive,positive
"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",positive,positive
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",negative,negative
"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences . ",negative,negative
"dull , lifeless , and amateurishly assembled . ",negative,negative
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",positive,positive
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past . ",positive,positive
has all the depth of a wading pool . ,negative,negative
a movie with a real anarchic flair . ,positive,positive
a subject like this should inspire reaction in its audience ; the pianist does not . ,negative,negative
... is an arthritic attempt at directing by callie khouri . ,negative,negative
"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ",positive,positive
